"Client Username","Annual Premium 2024","Annual Premium 2025","Claim Amount 2024","Claim Amount 2025","Claims Filed 2024","Claims Filed 2025","Client Country","Client Tenure","Policy Type","Premium Plan"
"Mountain_Tours","1800","1950","64000","64100","1","1","DE","6","Commercial","Y"
"Schmidt_GmbH","1400","1512","18000","30600","1","2","DE","5","Commercial","N"
"Moreau_Family","1300","1411","35000","35153","1","2","FR","6","Home","Y"
"Waterston_Group","2400","2550","110000","102335","2","2","UK","9","Commercial","Y"
"Oxford_Properties","3600","3870","120000","236284","1","2","UK","8","Commercial","Y"
"Becker_Systems","2900","3100","140000","148300","2","2","DE","8","Commercial","Y"
"Fischer_Group","2800","2997","75000","153441","1","2","DE","8","Commercial","Y"
"Dubois_Associates","1800","1921","30000","35016","1","2","FR","5","Commercial","Y"
"Apex_Group","1050","1200","0","6000","0","1","US","2","Commercial","N"
"Martin_Group","1950","2104","8500","8300","1","1","FR","9","Commercial","N"
"Petit_Holdings","1150","1250","0","12000","0","1","FR","2","Commercial","Y"
"Wilson_Family","1350","1450","28000","30334","1","1","UK","7","Home","Y"
"Barrett_Holdings","1650","1800","0","0","0","0","UK","3","Commercial","Y"
"Johnson_Family","1100","1230","35000","63801","1","2","US","7","Home","Y"
"Davies_Ltd","1350","1480","15000","20000","1","1","UK","3","Commercial","Y"
"Neumann_AG","4200","4560","280000","280012","3","3","DE","12","Commercial","Y"
"Berlin_Properties","3600","3870","200000","323441","2","3","DE","10","Commercial","Y"
